id,drug,routes,label_rules,structured_rules,notes_from_extraction,dailymed_url,current_status,current_reviewer,decision,reviewer,review_date,notes
gabapentin:ORAL,Gabapentin,ORAL,">= 60: CrCl >=60 mL/min: 900-3600 mg/day divided TID
30-59.99: CrCl >30-59 mL/min: 400-1400 mg/day divided BID
15-29.99: CrCl >15-29 mL/min: 200-700 mg/day once daily
< 15: CrCl <15 mL/min, not on hemodialysis: 100-300 mg/day at CrCl 15; reduce proportionally below 15 once daily | Hemodialysis: Maintenance dose by CrCl estimate plus 125-350 mg supplement after each 4 hours of hemodialysis; select supplement from label table",">= 60 [dialysis=none]: 900-3600 mg/day divided TID
30-59.99 [dialysis=none]: 400-1400 mg/day divided BID
15-29.99 [dialysis=none]: 200-700 mg/day once daily
< 15 [dialysis=none]: 100-300 mg/day at CrCl 15; reduce proportionally below 15 once daily
All values [dialysis=hd]: Maintenance dose by CrCl plus 125-350 mg supplement after each 4 hours of HD",Dose range depends on indication and titration; table is for patients 12 years and older.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=59a01ec3-97d4-c099-e053-2a91aa0af754,draft,,,,,
pregabalin:ORAL,Pregabalin,ORAL,">= 60: CrCl >=60 mL/min: 150-600 mg/day divided BID or TID
30-59.99: CrCl 30-60 mL/min: 75-300 mg/day divided BID or TID
15-29.99: CrCl 15-30 mL/min: 25-150 mg/day QD or divided BID
< 15: CrCl <15 mL/min, not on hemodialysis: 25-75 mg/day once daily | Hemodialysis: Renal-adjusted daily dose plus 25-150 mg supplemental dose immediately after each 4-hour hemodialysis; select supplement by daily regimen",">= 60 [dialysis=none]: 150-600 mg/day divided BID or TID
30-59.99 [dialysis=none]: 75-300 mg/day divided BID or TID
15-29.99 [dialysis=none]: 25-150 mg/day once daily or divided BID
< 15 [dialysis=none]: 25-75 mg/day once daily
All values [dialysis=hd]: Renal-adjusted daily dose plus 25-150 mg supplement immediately after each 4-hour HD",Total daily dose depends on indication and normal-renal-function target dose; hemodialysis requires an additional post-HD supplement.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8fb45a78-b2d8-45dd-b844-0de21d1fdde9,draft,,,,,
levetiracetam:IV+ORAL,Levetiracetam,"ORAL, IV","> 80: CrCl >80 mL/min/1.73 m2: 500-1500 mg every 12 hours
50-80: CrCl 50-80 mL/min/1.73 m2: 500-1000 mg every 12 hours
30-49.99: CrCl 30-50 mL/min/1.73 m2: 250-750 mg every 12 hours
< 30: Severe impairment, CrCl <30 mL/min/1.73 m2, not on dialysis: 250-500 mg every 12 hours | ESRD using dialysis: 500-1000 mg plus 250-500 mg supplemental dose every 24 hours; supplement following dialysis","> 80 [dialysis=none]: 500-1500 mg every 12 hours
50-80 [dialysis=none]: 500-1000 mg every 12 hours
30-49.99 [dialysis=none]: 250-750 mg every 12 hours
< 30 [dialysis=none]: 250-500 mg every 12 hours
All values [dialysis=hd]: 500-1000 mg plus 250-500 mg supplement every 24 hours; supplement after dialysis",Immediate-release adult dosing; CrCl adjusted to body surface area per label. ESRD on dialysis has a separate every-24-hour regimen.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1d67cb3c-1173-4dce-a79b-a3c36934ab2e,draft,,,,,
topiramate:ORAL,Topiramate,ORAL,">= 70: CrCl >=70 mL/min/1.73 m2: No renal dose adjustment usual adult schedule by indication
< 70: CrCl <70 mL/min/1.73 m2, not on hemodialysis: One-half usual adult dose usual interval by indication | Hemodialysis: One-half usual adult dose plus possible supplemental dose manual review; individualize supplement per dialysis parameters",">= 70 [dialysis=none]: No renal dose adjustment usual adult schedule by indication
< 70 [dialysis=none]: One-half usual adult dose usual interval by indication
All values [dialysis=hd]: One-half usual adult dose plus possible supplemental dose individualize to dialysis parameters",Dose depends on epilepsy or migraine regimen; renal rule halves the usual adult dose. Hemodialysis supplementation is individualized.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=41a5a961-8756-464c-aef3-22f2c9047609,draft,,,,,
lacosamide:IV+ORAL,Lacosamide,"ORAL, IV","> 30: CrCl >30 mL/min: No renal dose adjustment usual adult schedule by indication
0-30: CrCl <=30 mL/min or ESRD: Maximum 300 mg/day divided per indication; consider post-HD supplement up to 50%",,Renal maximum applies to severe impairment and ESRD; hemodialysis supplementation may be considered.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1310e776-65c8-413d-aab5-81a8c15719c5,draft,,,,,
oxcarbazepine:ORAL,Oxcarbazepine,ORAL,">= 30: CrCl >=30 mL/min: No renal dose adjustment usual adult schedule by indication
< 30: CrCl <30 mL/min: Initiate at one-half usual starting dose (300 mg/day) divided twice daily; increase slowly",,Immediate-release adult dosing; titrate slowly to clinical response.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=867eaf99-3e31-4f75-bfae-2898804d956d,draft,,,,,
memantine:ORAL,Memantine,ORAL,">= 30: CrCl >=30 mL/min: No renal dose adjustment titrate to usual target 10 mg twice daily
5-29.99: CrCl 5-29 mL/min: Target dose 5 mg twice daily
< 5: CrCl <5 mL/min: No DailyMed dose recommendation located manual review",,Immediate-release tablets for moderate to severe Alzheimer dementia.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=becb09dc-174d-4817-88d4-f38c8adcd309,draft,,,,,
galantamine:ORAL,Galantamine,ORAL,">= 60: CrCl >=60 mL/min: No renal dose adjustment usual adult titration schedule
9-59.99: CrCl 9-59 mL/min: Do not exceed 16 mg/day per formulation schedule
< 9: CrCl <9 mL/min: Use not recommended do not use",,Immediate-release and extended-release Alzheimer dementia products share the same renal maximum.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e80ec152-3616-4a13-9266-715550a8c398,draft,,,,,
duloxetine:ORAL,Duloxetine,ORAL,">= 30: GFR >=30 mL/min: No renal dose adjustment specified usual adult schedule by indication
< 30: GFR <30 mL/min: Avoid use do not use",,"Psychiatric, neuropathic pain, fibromyalgia, and chronic musculoskeletal pain indications.",https://www.dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4121bd3f-2d6d-3bdd-e063-6294a90a3088,draft,,,,,
desvenlafaxine:ORAL,Desvenlafaxine,ORAL,"> 50: CrCl >50 mL/min: 50 mg once daily
30-50: CrCl 30-50 mL/min: Maximum 50 mg once daily
< 30: CrCl <30 mL/min or ESRD: 25 mg daily or 50 mg every other day no supplemental post-dialysis dose",,Major depressive disorder; extended-release tablet.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=25bdfc41-c7cb-4d16-b6a8-f102f9b8c984,draft,,,,,
venlafaxine:ORAL,Venlafaxine,ORAL,"60-89: CrCl 60-89 mL/min: Reduce total daily dose by 25%-50% usual interval for selected formulation
30-59.99: CrCl 30-59 mL/min: Reduce total daily dose by 25%-50% usual interval for selected formulation
< 30: CrCl <30 mL/min or hemodialysis: Reduce total daily dose by 50% or more usual interval for selected formulation",,Extended-release tablet label; reduction is percentage-based rather than a fixed dose.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e81a2daf-b8b2-7c05-b532-bc775700b100&version=4,draft,,,,,
paliperidone:ORAL,Paliperidone,ORAL,">= 80: CrCl >=80 mL/min: No renal dose adjustment usual adult schedule by indication
50-79.99: CrCl 50-79 mL/min: Start 3 mg; maximum 6 mg once daily
10-49.99: CrCl 10-49 mL/min: Start 1.5 mg; maximum 3 mg once daily
< 10: CrCl <10 mL/min: Use not recommended do not use",,Extended-release oral tablets; not applicable to long-acting injectable products.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=463db841-297f-7692-e063-6394a90a8c14,draft,,,,,
risperidone:ORAL,Risperidone,ORAL,">= 60: CrCl >=60 mL/min: No renal dose reduction specified usual adult schedule by indication
30-59.99: CrCl 30-59 mL/min; moderate renal disease: Reduce dose; no fixed numeric renal regimen in label manual review and cautious titration
15-29.99: CrCl 15-29 mL/min; severe renal impairment: Start 0.5 mg twice daily; titrate by <=0.5 mg twice daily; increase above 1.5 mg twice daily no more often than weekly
< 15: CrCl <15 mL/min or dialysis: No clean DailyMed regimen beyond severe-impairment start manual review",,"Adult oral dosing; moderate-to-severe renal disease requires dose reduction, but the label only gives a fixed start/titration regimen for severe impairment.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a6347895-5f16-43b4-92a0-b9904ac81937,draft,,,,,
lurasidone:ORAL,Lurasidone,ORAL,">= 50: CrCl >=50 mL/min: No renal dose adjustment usual adult schedule by indication
< 50: CrCl <50 mL/min: Start 20 mg; maximum 80 mg once daily with food",,Schizophrenia and bipolar depression; take with food per label.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa9f0d28-c525-4a1e-acec-84c82e10b9a2,draft,,,,,
acamprosate:ORAL,Acamprosate,ORAL,"> 50: CrCl >50 mL/min: 666 mg three times daily
0-30: CrCl <=30 mL/min: Contraindicated do not use
30-50: CrCl >30-50 mL/min: 333 mg only if CrCl is >30 mL/min three times daily",,Maintenance of alcohol abstinence; delayed-release 333 mg tablets.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ae6e79c0-a307-4888-b647-1b7be4cb9127&version=4,draft,,,,,
varenicline:ORAL,Varenicline,ORAL,">= 30: Mild to moderate renal impairment: No renal dose adjustment usual adult titration schedule
< 30: CrCl <30 mL/min: Start 0.5 mg daily; maximum 0.5 mg twice daily titrate as needed and tolerated | ESRD on hemodialysis: Maximum 0.5 mg once daily if tolerated",,Smoking cessation; severe renal impairment and ESRD dosing.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0004a0bb-87c0-46f8-b36a-95c98107395d,draft,,,,,
pramipexole:ORAL,Pramipexole,ORAL,"> 60: CrCl >60 mL/min: Start 0.125 mg; maximum 1.5 mg three times daily
35-60: CrCl 35-59 mL/min: Start 0.125 mg; maximum 1.5 mg twice daily
15-34.99: CrCl 15-34 mL/min: Start 0.125 mg; maximum 1.5 mg once daily
< 15: CrCl <15 mL/min or hemodialysis: Use not adequately studied manual review",,Parkinson disease immediate-release dosing table; restless legs dosing requires separate review.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=04bf2b80-5371-4641-bbf5-e19587c0e9cf,draft,,,,,
ropinirole:ORAL,Ropinirole,ORAL,"> 50: CrCl >50 mL/min: No renal dose adjustment usual Parkinson or RLS schedule by indication
30-50: CrCl 30-50 mL/min: No renal dose adjustment usual Parkinson or RLS schedule by indication
< 30: Severe renal impairment without regular dialysis: Use not studied manual review | ESRD on hemodialysis; Parkinson disease: Start 0.25 mg; maximum total daily dose 18 mg three times daily; no post-HD supplement | ESRD on hemodialysis; restless legs syndrome: Start 0.25 mg; maximum total daily dose 3 mg once daily 1-3 hours before bedtime; no post-HD supplement",,Immediate-release product; ESRD hemodialysis dosing differs for Parkinson disease and restless legs syndrome; severe impairment without dialysis was not studied.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1cdb9d61-5bbc-4026-a449-fec8c9ce5c65,draft,,,,,
tramadol:ORAL,Tramadol,ORAL,">= 30: CrCl >=30 mL/min: No renal dose adjustment specified usual adult immediate-release schedule
< 30: CrCl <30 mL/min: Maximum 200 mg/day increase dosing interval to every 12 hours",,Immediate-release tablets for pain; ER products have different restrictions.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cabccc8a-6f9f-414c-93f0-6dec331ed74b,draft,,,,,
tapentadol:ORAL,Tapentadol,ORAL,">= 30: CrCl 30-90 mL/min or normal renal function: No renal dose adjustment usual adult schedule by indication
< 30: CrCl <30 mL/min: Use not recommended do not use",,Immediate-release tablets for acute pain.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=863f3fd3-1e8d-41b0-855f-8f9a29237cda,draft,,,,,
allopurinol:ORAL,Allopurinol,ORAL,"> 60: eGFR >60 mL/min: No initial dosage modification usual adult gout initiation
30-60: eGFR >30-60 mL/min: 50 mg once daily
15-30: eGFR >15-30 mL/min: 50 mg every other day
5-15: eGFR 5-15 mL/min: 50 mg twice weekly
< 5: eGFR <5 mL/min: 50 mg once weekly",,Initial adult gout dosing by eGFR; titrate to serum urate with monitoring.,https://www.dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4f5c4fbc-3d31-5068-e063-6294a90ab315,draft,,,,,
febuxostat:ORAL,Febuxostat,ORAL,"30-89: CrCl 30-89 mL/min: No renal dose adjustment usual adult schedule
15-29.99: CrCl 15-29 mL/min: Limit to 40 mg once daily
< 15: CrCl <15 mL/min or dialysis: Not studied in ESRD patients on dialysis; no clean DailyMed regimen manual review",,"Chronic gout hyperuricemia; severe renal impairment limit is explicit, while serum urate response guides therapy. ESRD patients on dialysis were not studied.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=54de10ef-fe5f-4930-b91d-6bbb04c664bd,draft,,,,,
famotidine:ORAL,Famotidine,ORAL,">= 60: CrCl >=60 mL/min: No renal dose adjustment usual adult schedule by indication
30-59.99: Active duodenal or gastric ulcer: 20 mg daily or 40 mg every other day maximum recommended renal regimen | Symptomatic non-erosive GERD: 20 mg once daily | Erosive esophagitis; usual 20 mg BID regimen: 20 mg daily or 40 mg every other day maximum recommended renal regimen | Erosive esophagitis; usual 40 mg BID regimen: 40 mg once daily | Pathological hypersecretory conditions: Avoid use; doses may exceed renal-safety-evaluated maximums manual review | Reduction of DU recurrence: 20 mg every other day
< 30: Active duodenal or gastric ulcer: 20 mg every other day; alternate 10 mg once daily requires another formulation | Symptomatic non-erosive GERD: 20 mg every other day; alternate 10 mg once daily requires another formulation | Erosive esophagitis; usual 20 mg BID regimen: 20 mg every other day; alternate 10 mg once daily requires another formulation | Erosive esophagitis; usual 40 mg BID regimen: 20 mg once daily | Pathological hypersecretory conditions: Avoid use; doses may exceed renal-safety-evaluated maximums manual review | Reduction of DU recurrence: 10 mg every other day; requires another formulation",">= 60 [any]: No renal dose adjustment usual adult schedule by indication
30-59.99 [indication=ulcer]: 20 mg daily or 40 mg every other day maximum renal regimen
30-59.99 [indication=gerd]: 20 mg once daily
30-59.99 [indication=erosive-20-bid]: 20 mg daily or 40 mg every other day maximum renal regimen
30-59.99 [indication=erosive-40-bid]: 40 mg once daily
30-59.99 [indication=du-recurrence]: 20 mg every other day
30-59.99 [indication=hypersecretory]: Avoid use manual review
< 30 [indication=ulcer]: 20 mg every other day; 10 mg daily needs another formulation
< 30 [indication=gerd]: 20 mg every other day; 10 mg daily needs another formulation
< 30 [indication=erosive-20-bid]: 20 mg every other day; 10 mg daily needs another formulation
< 30 [indication=erosive-40-bid]: 20 mg once daily
< 30 [indication=du-recurrence]: 10 mg every other day; needs another formulation
< 30 [indication=hypersecretory]: Avoid use manual review",Tablet label; renal maximum dose varies by acid-suppression indication. Use lowest effective dose and monitor CNS/QT risk in moderate/severe impairment.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a06502d9-7903-4f37-833e-e5763d502def,draft,,,,,
metoclopramide:ORAL,Metoclopramide,ORAL,"> 60: CrCl >60 mL/min: No renal dose adjustment usual adult schedule by indication
0-60: GERD, CrCl <=60 or ESRD: 5 mg QID or 10 mg BID; max 20 mg/day 30 minutes before meals and at bedtime or twice daily | Diabetic gastroparesis, CrCl <=60 or ESRD: 5 mg twice daily; max 10 mg/day",,Oral tablet dosing; renal adjustment differs for GERD versus diabetic gastroparesis.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7eeaa7bc-c94f-47d0-94e5-e35ccadca19e,draft,,,,,
alendronate:ORAL,Alendronate,ORAL,">= 35: CrCl >=35 mL/min: No renal dose adjustment usual adult schedule by indication
< 35: CrCl <35 mL/min: Use not recommended do not use",,Osteoporosis/Paget disease oral bisphosphonate.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4323d3aa-cbb0-41e2-aba7-7a94a0516993,draft,,,,,
risedronate:ORAL,Risedronate,ORAL,">= 30: CrCl >=30 mL/min: No renal dose adjustment specified usual adult schedule by indication
< 30: CrCl <30 mL/min: Use not recommended do not use",,Osteoporosis/Paget disease oral bisphosphonate.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a42a35e6-3e08-4b4f-ae56-47d4aec2322a,draft,,,,,
zoledronic-acid:IV,Zoledronic acid,IV,">= 35: CrCl >=35 mL/min: 5 mg IV; no renal dose adjustment per indication schedule
< 35: CrCl <35 mL/min or acute renal impairment: Contraindicated do not use",,Reclast osteoporosis/Paget disease 5 mg IV product; oncology zoledronic acid products require separate rules.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=16fcf8c9-ef8a-4e93-9ee6-acfadd35a861,draft,,,,,
hydroxyurea:ORAL,Hydroxyurea,ORAL,">= 60: Measured CrCl >=60 mL/min: 15 mg/kg once daily
< 60: Measured CrCl <60 mL/min or ESRD: 7.5 mg/kg once daily; give after hemodialysis on dialysis days",,Capsule products; initial dose shown for adult oncology-style capsule labeling and sickle-cell capsule labeling.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6053c775-68de-45e4-9af9-33b18fd0e140,draft,,,,,
capecitabine:ORAL,Capecitabine,ORAL,"> 50: CLcr >50 mL/min by Cockcroft-Gault: No renal starting-dose reduction usual adult cycle by indication
30-50: CLcr 30-50 mL/min by Cockcroft-Gault: Reduce starting dose by 25% usual adult cycle by indication
< 30: CLcr <30 mL/min: Dosage has not been established source-summary; manual clinical review required",,Oral tablets; dose reduction applies to the usual indication-specific starting dose.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=29885ada-b743-419c-8f15-edd4247c76ca,draft,,,,,
pemetrexed:IV,Pemetrexed,IV,">= 45: CrCl >=45 mL/min by Cockcroft-Gault: 500 mg/m2 day 1 of each 21-day cycle
< 45: CrCl <45 mL/min: No recommended dose do not administer per label",,NSCLC or mesothelioma regimens; requires vitamin supplementation and other label precautions.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3ae68628-7ab0-4491-b3ae-6a8330b719c8,draft,,,,,
lenalidomide:ORAL,Lenalidomide,ORAL,"30-60: CLcr 30-60; MM/MCL or FL/MZL combination therapy: 10 mg once daily | CLcr 30-60; MM maintenance after auto-HSCT or MDS: 5 mg once daily
< 30: CLcr <30 not requiring dialysis; MM/MCL combination therapy: 15 mg every other day | CLcr <30 not requiring dialysis; FL/MZL combination therapy: 5 mg once daily | CLcr <30 not requiring dialysis; MM maintenance after auto-HSCT or MDS: 2.5 mg once daily | CLcr <30 requiring dialysis; MM/MCL or FL/MZL combination therapy: 5 mg once daily after dialysis on dialysis days | CLcr <30 requiring dialysis; MM maintenance after auto-HSCT or MDS: 2.5 mg once daily after dialysis on dialysis days",,Dose bands differ by myeloma/lymphoma combination therapy versus maintenance or MDS.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=84d9dec7-9250-4dbd-9a0d-23e75f111892,draft,,,,,
fludarabine:IV,Fludarabine phosphate,IV,">= 80: CrCl >=80 mL/min: 25 mg/m2 daily for 5 days every 28 days
50-79.99: CrCl 50-79 mL/min: 20 mg/m2 daily for 5 days every 28 days
30-49.99: CrCl 30-49 mL/min: 15 mg/m2 daily for 5 days every 28 days
< 30: CrCl <30 mL/min: Do not administer contraindicated/not recommended by label",,IV formulation for adult CLL; oral fludarabine has a separate dose basis.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=20e5acf0-90b7-45c8-be78-91eaf77c9ac0,draft,,,,,
fludarabine-tablets:ORAL,Fludarabine phosphate tablets,ORAL,"> 70: CrCl >70 mL/min/1.73 m2: 40 mg/m2 daily for 5 days every 28 days
30-70: CrCl 30-70 mL/min/1.73 m2: Reduce dose by 20% daily for 5 days every 28 days
< 30: CrCl <30 mL/min/1.73 m2: Reduce dose by 50% daily for 5 days every 28 days",,Oral formulation for adult CLL; tablet dose is not interchangeable with IV dose.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ac76aca8-e718-4232-92ab-399166ce9e46,draft,,,,,
bendamustine:IV,Bendamustine,IV,">= 30: CrCl >=30 mL/min: No renal dose adjustment specified usual adult cycle by indication
< 30: CrCl <30 mL/min: Do not use not recommended by label",,CLL and indolent NHL products; renal threshold is a use restriction rather than a dose table.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=766b73e2-49bb-47f9-bbb1-44cfa1a3197e,draft,,,,,
oxaliplatin:IV,Oxaliplatin,IV,">= 30: CrCl >=30 mL/min by Cockcroft-Gault: No renal dose reduction usual adult cycle by indication
< 30: CrCl <30 mL/min by Cockcroft-Gault: 65 mg/m2 per regimen cycle",,Colorectal cancer regimens; renal dose shown for severe impairment.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=95b05292-36a1-4946-b8b3-835a3a77f4a7,draft,,,,,
etoposide:IV,Etoposide,IV,"> 50: Measured CrCl >50 mL/min: 100% of dose usual adult schedule by regimen
15-50: Measured CrCl 15-50 mL/min: 75% of dose usual adult schedule by regimen
< 15: Measured CrCl <15 mL/min: Further dose reduction should be considered; data unavailable specialist review",,Initial dose modification; subsequent dosing must follow tolerance and clinical effect.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4f850eb2-3542-43a0-90e8-bb37fa05cf15,draft,,,,,
topotecan-injection:IV,Topotecan injection,IV,">= 40: CLcr >=40 mL/min: No renal dose adjustment specified daily on regimen days
20-39.99: CLcr 20-39 mL/min by Cockcroft-Gault using ideal body weight: 0.75 mg/m2/day daily on regimen days
< 20: CLcr <20 mL/min: Insufficient data to provide a dosage recommendation source-summary; manual clinical review required",,Single-agent IV dosing; cervical cancer combination therapy has serum-creatinine trial constraints.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b6019088-cd94-43b4-b5ce-ba20b6b8021e,draft,,,,,
topotecan-capsules:ORAL,Topotecan capsules,ORAL,">= 50: CLcr >=50 mL/min: 2.3 mg/m2/day once daily for 5 consecutive days of a 21-day cycle
30-49.99: CLcr 30-49 mL/min: 1.5 mg/m2/day once daily for 5 consecutive days of a 21-day cycle
< 30: CLcr <30 mL/min: 0.6 mg/m2/day once daily for 5 consecutive days of a 21-day cycle",,Oral capsule product; renal dosing differs from IV topotecan.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b23b46f5-c276-47f5-8bbd-940680b3f579,draft,,,,,
imatinib:ORAL,Imatinib,ORAL,">= 60: CrCL >=60 mL/min: No renal dose adjustment specified usual adult schedule by indication
40-59.99: CrCL 40-59 mL/min: Do not exceed 600 mg/day once daily or divided per indication
20-39.99: CrCL 20-39 mL/min: Decrease recommended starting dose by 50%; do not exceed 400 mg/day once daily or divided per indication
< 20: CrCL <20 mL/min: Use with caution; 100 mg/day tolerated in limited patients specialist review",,Multiple oncology indications; renal language modifies starting dose and maximum dose rather than a single regimen.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1debf3a0-7587-47d7-8ea6-e739698d7297,draft,,,,,
venetoclax:ORAL,Venetoclax,ORAL,>= 15: CLcr >=15 mL/min: No renal dose adjustment usual adult ramp-up or schedule by indication,,CLL/SLL and AML regimens; TLS prophylaxis/monitoring remains indication- and risk-specific.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b118a40d-6b56-cee3-10f6-ded821a97018,draft,,,,,
anastrozole:ORAL,Anastrozole,ORAL,All values: Renal impairment: No renal dose adjustment 1 mg once daily,,Postmenopausal breast cancer endocrine therapy.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7e0bd2cc-d3cc-403f-a6b6-4597ccb2f685,draft,,,,,
letrozole:ORAL,Letrozole,ORAL,>= 10: CrCl >=10 mL/min: No renal dose adjustment 2.5 mg once daily,,Postmenopausal breast cancer endocrine therapy.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2d1f18f0-2c77-407c-b702-2d1b07f92510&version=3,draft,,,,,
exemestane:ORAL,Exemestane,ORAL,"All values: Renal impairment, including CrCl <35 mL/min/1.73 m2: No renal dose adjustment 25 mg once daily after a meal",,Postmenopausal breast cancer endocrine therapy.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e24b08eb-4693-41c7-81cb-b536947f7070,draft,,,,,
bicalutamide:ORAL,Bicalutamide,ORAL,All values: Renal impairment: No renal dose adjustment 50 mg once daily,,Use with an LHRH analog for metastatic prostate cancer; 150 mg monotherapy is not approved.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7a08d88b-051a-4c16-9560-12685c500c58&version=3,draft,,,,,
abiraterone:ORAL,Abiraterone acetate,ORAL,All values: Renal impairment: No renal dose adjustment usual adult once-daily product-specific regimen,,Prostate cancer regimens; must be used with corticosteroid per product-specific label.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6f5b628b-69da-4a04-a4d5-623b18d1fd5d,draft,,,,,
palbociclib:ORAL,Palbociclib,ORAL,"> 15: CrCl >15 mL/min: No renal dose adjustment once daily for 21 days, then 7 days off",,Breast cancer CDK4/6 inhibitor; tablet and capsule schedules use 21 days on then 7 days off.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fecbdd7d-b729-41b5-9872-231b8fe104ce,draft,,,,,
olaparib:ORAL,Olaparib,ORAL,">= 51: CLcr >=51 mL/min by Cockcroft-Gault: No renal dose adjustment 300 mg twice daily
31-50.99: CLcr 31-50 mL/min by Cockcroft-Gault: 200 mg twice daily
< 31: CLcr <=30 mL/min or ESRD: No data specialist review",,PARP inhibitor tablets; do not substitute capsule-era dosing.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=741ff3e3-dc1a-45a6-84e5-2481b27131aa,draft,,,,,
rucaparib:ORAL,Rucaparib,ORAL,">= 90: CrCl >=90 mL/min: 600 mg twice daily
30-89.99: CLcr 30-89 mL/min by Cockcroft-Gault: No renal dose adjustment 600 mg twice daily
< 30: CLcr <30 mL/min or dialysis: Not studied specialist review",,PARP inhibitor for selected ovarian/prostate cancer indications.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0295d202-1cfe-7659-e063-6294a90a476e,draft,,,,,
talazoparib:ORAL,Talazoparib,ORAL,">= 60: CLcr >=60 mL/min: No renal dose adjustment usual adult once-daily schedule by indication
30-59.99: CLcr 30-59; breast cancer monotherapy: 0.75 mg once daily | CLcr 30-59; HRR-mutated mCRPC with enzalutamide: 0.35 mg once daily
15-29.99: CLcr 15-29; breast cancer monotherapy; not requiring hemodialysis: 0.5 mg once daily | CLcr 15-29; HRR-mutated mCRPC with enzalutamide; not requiring hemodialysis: 0.25 mg once daily
< 15: CLcr <15 mL/min or requiring hemodialysis: Not studied source-summary; manual clinical review required",,PARP inhibitor; renal doses differ for breast cancer monotherapy versus mCRPC with enzalutamide.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=13839d4f-6acf-4ffb-a128-79df59319273,draft,,,,,
tamsulosin:ORAL,Tamsulosin,ORAL,">= 10: Renal impairment with CLcr >=10 mL/min/1.73 m2: No renal dose adjustment 0.4 mg once daily after the same meal; may increase per label response
< 10: End-stage renal disease, CLcr <10 mL/min/1.73 m2: Not studied specialist review",,BPH symptoms; not indicated for hypertension.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6771ad8e-ac92-4aec-b484-5d8350a353f8,draft,,,,,
